City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Vaini,TO,-21.2,-175.2,77.16,94,20,2.3,few clouds
80,Chuy,UY,-33.6971,-53.4616,80.22,72,35,4.36,scattered clouds
81,Kautokeino,NO,69.0125,23.0412,18.61,90,94,10.83,overcast clouds
82,Ust-Tsilma,RU,65.441,52.1498,15.84,93,100,10.89,light snow
83,Yumen,CN,40.2833,97.2,22.71,39,33,7.38,scattered clouds
84,Inta,RU,66.0317,60.1659,11.77,82,13,16.51,few clouds
85,Airai,TL,-8.9266,125.4092,62.82,89,100,2.17,overcast clouds
86,Broken Hill,AU,-31.95,141.4333,76.71,61,11,12.66,light rain
87,Kholtoson,RU,50.2981,103.3097,1.4,97,100,3.06,overcast clouds
88,Fairview,US,40.8126,-73.999,30.2,74,100,3.44,overcast clouds
89,Hamilton,US,39.1834,-84.5333,23.94,72,100,1.99,overcast clouds
90,Geraldton,AU,-28.7667,114.6,73.81,73,0,25.32,clear sky
91,Lompoc,US,34.6391,-120.4579,54.19,81,0,8.05,clear sky
92,Norman Wells,CA,65.282,-126.8329,6.84,85,100,8.05,light snow
93,Fortuna,US,40.5982,-124.1573,35.94,61,20,4.83,few clouds
94,Mahebourg,MU,-20.4081,57.7,80.89,69,40,16.11,scattered clouds
95,Kapaa,US,22.0752,-159.319,71.92,78,40,13.8,scattered clouds
96,Grand Gaube,MU,-20.0064,57.6608,81.0,80,45,7.0,scattered clouds
97,San Rafael,AR,-34.6177,-68.3301,73.18,66,79,10.54,broken clouds
98,Batouri,CM,4.4333,14.3667,98.1,12,2,5.21,clear sky
99,Huarmey,PE,-10.0681,-78.1522,71.85,86,35,5.01,scattered clouds
100,Bilibino,RU,68.0546,166.4372,-37.05,100,100,2.57,overcast clouds
101,Progreso,MX,21.2833,-89.6667,68.11,87,0,7.38,clear sky
102,Linxia,CN,35.6003,103.2064,27.97,61,100,2.42,overcast clouds
103,Key West,US,24.5557,-81.7826,64.4,76,20,9.22,few clouds
104,Piet Retief,ZA,-27.0071,30.8132,80.85,37,0,6.11,clear sky
105,Bom Jesus,BR,-9.0744,-44.3586,84.07,59,16,5.7,few clouds
106,Sao Filipe,CV,14.8961,-24.4956,79.43,46,100,15.46,overcast clouds
107,Ginda,IN,30.6945,78.4932,40.66,93,100,0.22,overcast clouds
108,Gizo,SB,-8.103,156.8419,83.44,77,9,7.58,clear sky
109,Kailua,US,21.4022,-157.7394,73.38,73,20,9.22,few clouds
110,Blackfoot,US,43.1905,-112.345,19.18,95,93,2.98,overcast clouds
111,Kavaratti,IN,10.5669,72.642,79.45,62,100,14.88,overcast clouds
112,Kysyl-Syr,RU,63.8986,122.7617,-0.54,97,100,5.44,overcast clouds
113,Aklavik,CA,68.2191,-135.0107,11.23,95,100,12.01,overcast clouds
114,Katsuura,JP,35.1333,140.3,42.19,56,1,18.52,clear sky
115,Luau,AO,-10.7073,22.2247,80.42,55,32,3.67,scattered clouds
116,Clyde River,CA,70.4692,-68.5914,-1.97,78,100,24.16,light snow
117,Noumea,NC,-22.2763,166.4572,80.01,99,100,2.1,overcast clouds
118,Antalaha,MG,-14.9003,50.2788,79.43,87,99,3.4,moderate rain
119,Bengkulu,ID,-3.8004,102.2655,78.73,79,100,2.04,overcast clouds
120,Saskylakh,RU,71.9167,114.0833,-21.1,100,97,4.25,overcast clouds
121,Juneau,US,58.3019,-134.4197,39.85,95,100,9.22,overcast clouds
122,Birao,CF,10.2849,22.7882,94.87,10,88,8.23,overcast clouds
123,Makakilo City,US,21.3469,-158.0858,71.92,73,100,4.61,overcast clouds
124,Lavrentiya,RU,65.5833,-171.0,6.49,95,100,4.83,overcast clouds
125,Benjamin Aceval,PY,-24.9667,-57.5667,96.94,22,1,5.39,clear sky
126,Haapiti,PF,-17.5667,-149.8667,76.73,76,100,15.61,overcast clouds
